Артикул,Название товара,Остаток,Цена продажи,Закупочная цена,Бренд,Серия
SLIBLBTi01,Смеситель для умывальника IDDIS Slide с кнопочным управлением (SLIBLBTi01),10,9672.0,8644.0,IDDIS,Slide
SLISBBTi01,Смеситель для умывальника IDDIS Slide с кнопочным управлением (SLISBBTi01),0,8752.0,7822.0,IDDIS,Slide
CUBSBFJi05,Смеситель для кухни с каналом для фильтрованной воды IDDIS Cuba (CUBSBFJi05),0,8092.0,7715.0,IDDIS,Cuba
BILSB00i10WA,Смеситель для ванны с длинным изливом IDDIS Bild (BILSB00i10WA),10,9490.0,6785.0,IDDIS,Bild
BILSB00i02WA,Смеситель для ванны IDDIS Bild (BILSB00i02WA),10,8990.0,6428.0,IDDIS,Bild
JOKSB00i10WA,Смеситель для ванны с длинным изливом IDDIS Joker (JOKSB00i10WA),0,9190.0,6571.0,IDDIS,Joker
JOKSB00i02WA,Смеситель для ванны IDDIS Joker (JOKSB00i02WA),0,8990.0,6428.0,IDDIS,Joker
CU5BLJ0i05,Смеситель для кухни черный IDDIS Cuba (CU5BLJ0i05),10,7344.0,5277.0,IDDIS,Cuba
STOSB00i10WA,Смеситель для ванны с длинным изливом IDDIS Stone (STOSB00i10WA),0,7192.0,6428.0,IDDIS,Stone
STOSB00i02WA,Смеситель для ванны IDDIS Stone (STOSB00i02WA),10,8070.0,5796.0,IDDIS,Stone
SLIGM00i01,Смеситель для умывальника графит IDDIS Slide (SLIGM00i01),10,8491.0,7143.0,IDDIS,Slide
004BNS0i08,Встраиваемый смеситель IDDIS с гигиеническим душем сатин (004BNS0i08),0,8490.0,6102.0,IDDIS,Spring
003BNR0i08,Встраиваемый смеситель с гигиеническим душем сатин (003BNR0i08),10,7640.0,5491.0,IDDIS,Spring
CU6WTJ0i05,Смеситель для кухни белый IDDIS Cuba (CU6WTJ0i05),10,7344.0,5277.0,IDDIS,Cuba
GRABLR2i02WA,Смеситель для ванны черный IDDIS Grange (GRABLR2i02WA),10,9742.0,9288.0,IDDIS,Grange
GRABL00i05,Смеситель для кухни черный IDDIS Grange (GRABL00i05),10,7693.0,7858.0,IDDIS,Grange
GRABLR1i01,Смеситель для настольного умывальника черный IDDIS Grange (GRABLR1i01),0,9592.0,8573.0,IDDIS,Grange
GRABLR0i01,Смеситель для умывальника черный IDDIS Grange (GRABLR0i01),0,7492.0,7143.0,IDDIS,Grange
SLIBL00i67,Встраиваемый смеситель с двумя выходами черный IDDIS Slide (SLIBL00i67),0,8232.0,7357.0,IDDIS,Slide
SLISB00i67,Встраиваемый смеситель с двумя выходами IDDIS Slide (SLISB00i67),0,9490.0,6785.0,IDDIS,Slide
SLIWTBTi01,Смеситель для умывальника с инновационным управлением Push Control белый матовый IDDIS Slide (SLIWTBTi01),0,9672.0,8644.0,IDDIS,Slide
SLIWT00i01,Смеситель для умывальника белый матовый IDDIS Slide (SLIWT00i01),10,7992.0,7143.0,IDDIS,Slide
GRAGM00i05,Смеситель для кухни графит IDDIS Grange (GRAGM00i05),0,8792.0,7858.0,IDDIS,Grange
